,Id,País,País Largo,Combustible Principal,cant
0,1f081645bd0,AFG,Afghanistan,Hydro,1
1,1f081645bd0,AFG,Afghanistan,Solar,1
2,1f081645bd0,AFG,Afghanistan,Gas,1
3,1f081645bd0,ALB,Albania,Hydro,1
4,1f081645bd0,ALB,Albania,Other,1
5,1f081645bd0,DZA,Algeria,Solar,1
6,1f081645bd0,DZA,Algeria,Gas,1
7,1f081645bd0,DZA,Algeria,Hydro,1
8,1f081645bd0,AGO,Angola,Oil,1
9,1f081645bd0,AGO,Angola,Hydro,1
10,1f081645bd0,AGO,Angola,Gas,1
11,1f081645bd0,ATA,Antarctica,Oil,1
12,1f081645bd0,ATA,Antarctica,Wind,1
13,1f081645bd0,ARG,Argentina,Other,1
14,1f081645bd0,ARG,Argentina,Gas,1
15,1f081645bd0,ARG,Argentina,Hydro,1
16,1f081645bd0,ARG,Argentina,Oil,1
17,1f081645bd0,ARG,Argentina,Nuclear,1
18,1f081645bd0,ARG,Argentina,Coal,1
19,1f081645bd0,ARG,Argentina,Solar,1
20,1f081645bd0,ARG,Argentina,Wind,1
21,1f081645bd0,ARM,Armenia,Nuclear,1
22,1f081645bd0,ARM,Armenia,Gas,1
23,1f081645bd0,ARM,Armenia,Hydro,1
24,1f081645bd0,AUS,Australia,Solar,1
25,1f081645bd0,AUS,Australia,Wind,1
26,1f081645bd0,AUS,Australia,Oil,1
27,1f081645bd0,AUS,Australia,Coal,1
28,1f081645bd0,AUS,Australia,Gas,1
29,1f081645bd0,AUS,Australia,Hydro,1
30,1f081645bd0,AUS,Australia,Waste,1
31,1f081645bd0,AUS,Australia,Biomass,1
32,1f081645bd0,AUT,Austria,Hydro,1
33,1f081645bd0,AUT,Austria,Gas,1
34,1f081645bd0,AUT,Austria,Wind,1
35,1f081645bd0,AZE,Azerbaijan,Gas,1
36,1f081645bd0,AZE,Azerbaijan,Oil,1
37,1f081645bd0,AZE,Azerbaijan,Hydro,1
38,1f081645bd0,BHR,Bahrain,Gas,1
39,1f081645bd0,BHR,Bahrain,Solar,1
40,1f081645bd0,BHR,Bahrain,Oil,1
41,1f081645bd0,BGD,Bangladesh,Oil,1
42,1f081645bd0,BGD,Bangladesh,Gas,1
43,1f081645bd0,BGD,Bangladesh,Coal,1
44,1f081645bd0,BGD,Bangladesh,Solar,1
45,1f081645bd0,BGD,Bangladesh,Hydro,1
46,1f081645bd0,BLR,Belarus,Gas,1
47,1f081645bd0,BLR,Belarus,Solar,1
48,1f081645bd0,BEL,Belgium,Oil,1
49,1f081645bd0,BEL,Belgium,Gas,1
50,1f081645bd0,BEL,Belgium,Biomass,1
51,1f081645bd0,BEL,Belgium,Wind,1
52,1f081645bd0,BEL,Belgium,Hydro,1
53,1f081645bd0,BEL,Belgium,Waste,1
54,1f081645bd0,BEL,Belgium,Nuclear,1
55,1f081645bd0,BEL,Belgium,Solar,1
56,1f081645bd0,BEL,Belgium,Coal,1
57,1f081645bd0,BEN,Benin,Gas,1
58,1f081645bd0,BEN,Benin,Oil,1
59,1f081645bd0,BTN,Bhutan,Hydro,1
60,1f081645bd0,BOL,Bolivia,Gas,1
61,1f081645bd0,BOL,Bolivia,Hydro,1
62,1f081645bd0,BOL,Bolivia,Solar,1
63,1f081645bd0,BIH,Bosnia and Herzegovina,Hydro,1
64,1f081645bd0,BIH,Bosnia and Herzegovina,Coal,1
65,1f081645bd0,BWA,Botswana,Coal,1
66,1f081645bd0,BRA,Brazil,Hydro,1
67,1f081645bd0,BRA,Brazil,Oil,1
68,1f081645bd0,BRA,Brazil,Biomass,1
69,1f081645bd0,BRA,Brazil,Gas,1
70,1f081645bd0,BRA,Brazil,Wind,1
71,1f081645bd0,BRA,Brazil,Nuclear,1
72,1f081645bd0,BRA,Brazil,Coal,1
73,1f081645bd0,BRA,Brazil,Waste,1
74,1f081645bd0,BRA,Brazil,Solar,1
75,1f081645bd0,BRA,Brazil,Other,1
76,1f081645bd0,BRN,Brunei Darussalam,Gas,1
77,1f081645bd0,BGR,Bulgaria,Coal,1
78,1f081645bd0,BGR,Bulgaria,Solar,1
79,1f081645bd0,BGR,Bulgaria,Hydro,1
80,1f081645bd0,BGR,Bulgaria,Nuclear,1
81,1f081645bd0,BGR,Bulgaria,Wind,1
82,1f081645bd0,BFA,Burkina Faso,Hydro,1
83,1f081645bd0,BFA,Burkina Faso,Oil,1
84,1f081645bd0,BFA,Burkina Faso,Solar,1
85,1f081645bd0,BDI,Burundi,Hydro,1
86,1f081645bd0,BDI,Burundi,Solar,1
87,1f081645bd0,KHM,Cambodia,Biomass,1
88,1f081645bd0,KHM,Cambodia,Solar,1
89,1f081645bd0,KHM,Cambodia,Hydro,1
90,1f081645bd0,KHM,Cambodia,Oil,1
91,1f081645bd0,KHM,Cambodia,Waste,1
92,1f081645bd0,KHM,Cambodia,Coal,1
93,1f081645bd0,CMR,Cameroon,Oil,1
94,1f081645bd0,CMR,Cameroon,Hydro,1
95,1f081645bd0,CMR,Cameroon,Gas,1
96,1f081645bd0,CAN,Canada,Solar,1
97,1f081645bd0,CAN,Canada,Hydro,1
98,1f081645bd0,CAN,Canada,Wind,1
99,1f081645bd0,CAN,Canada,Biomass,1
100,1f081645bd0,CAN,Canada,Gas,1
101,1f081645bd0,CAN,Canada,Wave and Tidal,1
102,1f081645bd0,CAN,Canada,Coal,1
103,1f081645bd0,CAN,Canada,Nuclear,1
104,1f081645bd0,CAN,Canada,Oil,1
105,1f081645bd0,CAN,Canada,Other,1
106,1f081645bd0,CPV,Cape Verde,Oil,1
107,1f081645bd0,CPV,Cape Verde,Solar,1
108,1f081645bd0,CAF,Central African Republic,Oil,1
109,1f081645bd0,CAF,Central African Republic,Hydro,1
110,1f081645bd0,CHL,Chile,Hydro,1
111,1f081645bd0,CHL,Chile,Oil,1
112,1f081645bd0,CHL,Chile,Wind,1
113,1f081645bd0,CHL,Chile,Gas,1
114,1f081645bd0,CHL,Chile,Solar,1
115,1f081645bd0,CHL,Chile,Biomass,1
116,1f081645bd0,CHL,Chile,Coal,1
117,1f081645bd0,CHL,Chile,Petcoke,1
118,1f081645bd0,CHN,China,Coal,1
119,1f081645bd0,CHN,China,Hydro,1
120,1f081645bd0,CHN,China,Wind,1
121,1f081645bd0,CHN,China,Solar,1
122,1f081645bd0,CHN,China,Gas,1
123,1f081645bd0,CHN,China,Nuclear,1
124,1f081645bd0,CHN,China,Oil,1
125,1f081645bd0,CHN,China,Geothermal,1
126,1f081645bd0,COL,Colombia,Hydro,1
127,1f081645bd0,COL,Colombia,Oil,1
128,1f081645bd0,COL,Colombia,Solar,1
129,1f081645bd0,COL,Colombia,Coal,1
130,1f081645bd0,COL,Colombia,Gas,1
131,1f081645bd0,COG,Congo,Gas,1
132,1f081645bd0,COG,Congo,Hydro,1
133,1f081645bd0,COG,Congo,Oil,1
134,1f081645bd0,CRI,Costa Rica,Hydro,1
135,1f081645bd0,CRI,Costa Rica,Geothermal,1
136,1f081645bd0,CRI,Costa Rica,Solar,1
137,1f081645bd0,CRI,Costa Rica,Oil,1
138,1f081645bd0,CIV,Cote DIvoire,Hydro,1
139,1f081645bd0,CIV,Cote DIvoire,Gas,1
140,1f081645bd0,HRV,Croatia,Hydro,1
141,1f081645bd0,HRV,Croatia,Gas,1
142,1f081645bd0,HRV,Croatia,Coal,1
143,1f081645bd0,HRV,Croatia,Oil,1
144,1f081645bd0,CUB,Cuba,Oil,1
145,1f081645bd0,CUB,Cuba,Gas,1
146,1f081645bd0,CUB,Cuba,Wind,1
147,1f081645bd0,CUB,Cuba,Solar,1
148,1f081645bd0,CYP,Cyprus,Oil,1
149,1f081645bd0,CYP,Cyprus,Gas,1
150,1f081645bd0,CZE,Czech Republic,Solar,1
151,1f081645bd0,CZE,Czech Republic,Coal,1
152,1f081645bd0,CZE,Czech Republic,Hydro,1
153,1f081645bd0,CZE,Czech Republic,Nuclear,1
154,1f081645bd0,CZE,Czech Republic,Gas,1
155,1f081645bd0,COD,Democratic Republic of the Congo,Gas,1
156,1f081645bd0,COD,Democratic Republic of the Congo,Hydro,1
157,1f081645bd0,COD,Democratic Republic of the Congo,Oil,1
158,1f081645bd0,DNK,Denmark,Solar,1
159,1f081645bd0,DNK,Denmark,Geothermal,1
160,1f081645bd0,DNK,Denmark,Coal,1
161,1f081645bd0,DNK,Denmark,Wind,1
162,1f081645bd0,DNK,Denmark,Gas,1
163,1f081645bd0,DNK,Denmark,Biomass,1
164,1f081645bd0,DNK,Denmark,Oil,1
165,1f081645bd0,DJI,Djibouti,Oil,1
166,1f081645bd0,DOM,Dominican Republic,Gas,1
167,1f081645bd0,DOM,Dominican Republic,Coal,1
168,1f081645bd0,DOM,Dominican Republic,Solar,1
169,1f081645bd0,DOM,Dominican Republic,Oil,1
170,1f081645bd0,DOM,Dominican Republic,Hydro,1
171,1f081645bd0,DOM,Dominican Republic,Wind,1
172,1f081645bd0,ECU,Ecuador,Hydro,1
173,1f081645bd0,ECU,Ecuador,Gas,1
174,1f081645bd0,ECU,Ecuador,Oil,1
175,1f081645bd0,ECU,Ecuador,Solar,1
176,1f081645bd0,EGY,Egypt,Gas,1
177,1f081645bd0,EGY,Egypt,Oil,1
178,1f081645bd0,EGY,Egypt,Hydro,1
179,1f081645bd0,EGY,Egypt,Solar,1
180,1f081645bd0,EGY,Egypt,Wind,1
181,1f081645bd0,SLV,El Salvador,Hydro,1
182,1f081645bd0,SLV,El Salvador,Oil,1
183,1f081645bd0,SLV,El Salvador,Geothermal,1
184,1f081645bd0,SLV,El Salvador,Solar,1
185,1f081645bd0,GNQ,Equatorial Guinea,Gas,1
186,1f081645bd0,GNQ,Equatorial Guinea,Hydro,1
187,1f081645bd0,ERI,Eritrea,Oil,1
188,1f081645bd0,EST,Estonia,Wind,1
189,1f081645bd0,EST,Estonia,Oil,1
190,1f081645bd0,EST,Estonia,Gas,1
191,1f081645bd0,ETH,Ethiopia,Wind,1
192,1f081645bd0,ETH,Ethiopia,Geothermal,1
193,1f081645bd0,ETH,Ethiopia,Hydro,1
194,1f081645bd0,FJI,Fiji,Wind,1
195,1f081645bd0,FJI,Fiji,Oil,1
196,1f081645bd0,FJI,Fiji,Biomass,1
197,1f081645bd0,FJI,Fiji,Hydro,1
198,1f081645bd0,FIN,Finland,Hydro,1
199,1f081645bd0,FIN,Finland,Oil,1
200,1f081645bd0,FIN,Finland,Biomass,1
201,1f081645bd0,FIN,Finland,Gas,1
202,1f081645bd0,FIN,Finland,Coal,1
203,1f081645bd0,FIN,Finland,Wind,1
204,1f081645bd0,FIN,Finland,Nuclear,1
205,1f081645bd0,FIN,Finland,Other,1
206,1f081645bd0,FRA,France,Oil,1
207,1f081645bd0,FRA,France,Hydro,1
208,1f081645bd0,FRA,France,Wind,1
209,1f081645bd0,FRA,France,Solar,1
210,1f081645bd0,FRA,France,Biomass,1
211,1f081645bd0,FRA,France,Nuclear,1
212,1f081645bd0,FRA,France,Gas,1
213,1f081645bd0,FRA,France,Geothermal,1
214,1f081645bd0,FRA,France,Coal,1
215,1f081645bd0,FRA,France,Wave and Tidal,1
216,1f081645bd0,GUF,French Guiana,Gas,1
217,1f081645bd0,GUF,French Guiana,Oil,1
218,1f081645bd0,GUF,French Guiana,Biomass,1
219,1f081645bd0,GUF,French Guiana,Hydro,1
220,1f081645bd0,GUF,French Guiana,Solar,1
221,1f081645bd0,GAB,Gabon,Hydro,1
222,1f081645bd0,GAB,Gabon,Gas,1
223,1f081645bd0,GAB,Gabon,Oil,1
224,1f081645bd0,GMB,Gambia,Oil,1
225,1f081645bd0,GEO,Georgia,Hydro,1
226,1f081645bd0,GEO,Georgia,Gas,1
227,1f081645bd0,DEU,Germany,Gas,1
228,1f081645bd0,DEU,Germany,Waste,1
229,1f081645bd0,DEU,Germany,Solar,1
230,1f081645bd0,DEU,Germany,Coal,1
231,1f081645bd0,DEU,Germany,Hydro,1
232,1f081645bd0,DEU,Germany,Wind,1
233,1f081645bd0,DEU,Germany,Oil,1
234,1f081645bd0,DEU,Germany,Biomass,1
235,1f081645bd0,DEU,Germany,Nuclear,1
236,1f081645bd0,DEU,Germany,Other,1
237,1f081645bd0,GHA,Ghana,Hydro,1
238,1f081645bd0,GHA,Ghana,Solar,1
239,1f081645bd0,GHA,Ghana,Gas,1
240,1f081645bd0,GRC,Greece,Solar,1
241,1f081645bd0,GRC,Greece,Coal,1
242,1f081645bd0,GRC,Greece,Gas,1
243,1f081645bd0,GRC,Greece,Waste,1
244,1f081645bd0,GRC,Greece,Hydro,1
245,1f081645bd0,GRC,Greece,Oil,1
246,1f081645bd0,GRC,Greece,Wind,1
247,1f081645bd0,GTM,Guatemala,Hydro,1
248,1f081645bd0,GTM,Guatemala,Oil,1
249,1f081645bd0,GTM,Guatemala,Biomass,1
250,1f081645bd0,GTM,Guatemala,Coal,1
251,1f081645bd0,GTM,Guatemala,Solar,1
252,1f081645bd0,GTM,Guatemala,Waste,1
253,1f081645bd0,GTM,Guatemala,Geothermal,1
254,1f081645bd0,GTM,Guatemala,Wind,1
255,1f081645bd0,GIN,Guinea,Hydro,1
256,1f081645bd0,GIN,Guinea,Oil,1
257,1f081645bd0,GNB,Guinea-Bissau,Oil,1
258,1f081645bd0,GUY,Guyana,Oil,1
259,1f081645bd0,GUY,Guyana,Biomass,1
260,1f081645bd0,HND,Honduras,Solar,1
261,1f081645bd0,HND,Honduras,Biomass,1
262,1f081645bd0,HND,Honduras,Hydro,1
263,1f081645bd0,HND,Honduras,Wind,1
264,1f081645bd0,HND,Honduras,Waste,1
265,1f081645bd0,HND,Honduras,Oil,1
266,1f081645bd0,HND,Honduras,Gas,1
267,1f081645bd0,HND,Honduras,Geothermal,1
268,1f081645bd0,HUN,Hungary,Gas,1
269,1f081645bd0,HUN,Hungary,Coal,1
270,1f081645bd0,HUN,Hungary,Solar,1
271,1f081645bd0,HUN,Hungary,Oil,1
272,1f081645bd0,HUN,Hungary,Nuclear,1
273,1f081645bd0,ISL,Iceland,Hydro,1
274,1f081645bd0,ISL,Iceland,Geothermal,1
275,1f081645bd0,IND,India,Solar,1
276,1f081645bd0,IND,India,Coal,1
277,1f081645bd0,IND,India,Wind,1
278,1f081645bd0,IND,India,Gas,1
279,1f081645bd0,IND,India,Hydro,1
280,1f081645bd0,IND,India,Biomass,1
281,1f081645bd0,IND,India,Oil,1
282,1f081645bd0,IND,India,Nuclear,1
283,1f081645bd0,IDN,Indonesia,Coal,1
284,1f081645bd0,IDN,Indonesia,Oil,1
285,1f081645bd0,IDN,Indonesia,Hydro,1
286,1f081645bd0,IDN,Indonesia,Geothermal,1
287,1f081645bd0,IDN,Indonesia,Gas,1
288,1f081645bd0,IRN,Iran,Gas,1
289,1f081645bd0,IRN,Iran,Oil,1
290,1f081645bd0,IRN,Iran,Hydro,1
291,1f081645bd0,IRN,Iran,Solar,1
292,1f081645bd0,IRN,Iran,Nuclear,1
293,1f081645bd0,IRN,Iran,Wind,1
294,1f081645bd0,IRQ,Iraq,Hydro,1
295,1f081645bd0,IRQ,Iraq,Gas,1
296,1f081645bd0,IRQ,Iraq,Oil,1
297,1f081645bd0,IRL,Ireland,Gas,1
298,1f081645bd0,IRL,Ireland,Wind,1
299,1f081645bd0,IRL,Ireland,Hydro,1
300,1f081645bd0,IRL,Ireland,Oil,1
301,1f081645bd0,IRL,Ireland,Coal,1
302,1f081645bd0,IRL,Ireland,Biomass,1
303,1f081645bd0,ISR,Israel,Gas,1
304,1f081645bd0,ISR,Israel,Solar,1
305,1f081645bd0,ISR,Israel,Wind,1
306,1f081645bd0,ISR,Israel,Coal,1
307,1f081645bd0,ITA,Italy,Hydro,1
308,1f081645bd0,ITA,Italy,Other,1
309,1f081645bd0,ITA,Italy,Solar,1
310,1f081645bd0,ITA,Italy,Gas,1
311,1f081645bd0,ITA,Italy,Oil,1
312,1f081645bd0,ITA,Italy,Coal,1
313,1f081645bd0,ITA,Italy,Geothermal,1
314,1f081645bd0,ITA,Italy,Wind,1
315,1f081645bd0,JAM,Jamaica,Gas,1
316,1f081645bd0,JAM,Jamaica,Solar,1
317,1f081645bd0,JAM,Jamaica,Oil,1
318,1f081645bd0,JAM,Jamaica,Hydro,1
319,1f081645bd0,JAM,Jamaica,Wind,1
320,1f081645bd0,JPN,Japan,Solar,1
321,1f081645bd0,JPN,Japan,Oil,1
322,1f081645bd0,JPN,Japan,Wind,1
323,1f081645bd0,JPN,Japan,Hydro,1
324,1f081645bd0,JPN,Japan,Gas,1
325,1f081645bd0,JPN,Japan,Nuclear,1
326,1f081645bd0,JPN,Japan,Waste,1
327,1f081645bd0,JPN,Japan,Coal,1
328,1f081645bd0,JPN,Japan,Geothermal,1
329,1f081645bd0,JOR,Jordan,Solar,1
330,1f081645bd0,JOR,Jordan,Gas,1
331,1f081645bd0,JOR,Jordan,Oil,1
332,1f081645bd0,KAZ,Kazakhstan,Coal,1
333,1f081645bd0,KAZ,Kazakhstan,Gas,1
334,1f081645bd0,KAZ,Kazakhstan,Solar,1
335,1f081645bd0,KAZ,Kazakhstan,Hydro,1
336,1f081645bd0,KEN,Kenya,Solar,1
337,1f081645bd0,KEN,Kenya,Hydro,1
338,1f081645bd0,KEN,Kenya,Oil,1
339,1f081645bd0,KEN,Kenya,Wind,1
340,1f081645bd0,KEN,Kenya,Geothermal,1
341,1f081645bd0,KOS,Kosovo,Coal,1
342,1f081645bd0,KWT,Kuwait,Gas,1
343,1f081645bd0,KWT,Kuwait,Solar,1
344,1f081645bd0,KGZ,Kyrgyzstan,Hydro,1
345,1f081645bd0,KGZ,Kyrgyzstan,Coal,1
346,1f081645bd0,KGZ,Kyrgyzstan,Oil,1
347,1f081645bd0,LAO,Laos,Coal,1
348,1f081645bd0,LAO,Laos,Hydro,1
349,1f081645bd0,LVA,Latvia,Hydro,1
350,1f081645bd0,LVA,Latvia,Gas,1
351,1f081645bd0,LBN,Lebanon,Oil,1
352,1f081645bd0,LBN,Lebanon,Gas,1
353,1f081645bd0,LSO,Lesotho,Hydro,1
354,1f081645bd0,LBR,Liberia,Oil,1
355,1f081645bd0,LBR,Liberia,Hydro,1
